STU_ID,X1TXMTSCOR,X1PAREDU,X1SES,X1MTHINT,X1SCIINT,X2TXMTSCOR,X2PAREDU,X2BEHAVEIN,X2MTHINT_R,X2SCIINT,X3TGPAHIMTH,X3TGPAHISCI,X3TGPAACAD,X3TGPASTEM,X4X2SES,X5GPAALL,S1GOODGRADES,S1HRMHOMEWK,S1HRSHOMEWK,S1HROTHHOMWK,S1HRACTIVITY,S1HRTV,S1HRVIDEO,S1HRONLINE,S2LATESCH,S2ABSENT,S2WOHWDN,S2WOPAPER,S2WOBOOKS,S2SKIPCLASS,S2INSCHSUSP,S2OUTSCHSUSP,S2DISCIPLINE,S2EXPELLED,S2ARRESTED,S2JUVHOME,A1SCHCONTROL,A1MTHSCIFAIR,A1MSSUMMER,A1MSAFTERSCH,A1MSMENTOR,A1MSSPEAKER,A1MSFLDTRIP,A1MSPRGMS,A1HRTEACHERS,A1HRSTUDENT,A1TCHRABSENT,A1PRNTINV,A1UNPREP,A1HEALTH,A1RESOURCES,C1PLANPARENT,C1SIGNOFF
27221.0,56.3779,4.0,0.2793,0.01,0.99,62.7897,5.0,-0.41,-0.6,-0.84,3.0,3.5,3.0,3.0,0.5428,1,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0
27228.0,-8.0,-8.0,-8.0,-8.0,-8.0,51.6437,2.0,-9.0,0.45,-0.38,2.5,3.5,3.5,3.0,-0.3291,2,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,1.0,-9.0,2.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,15.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0
27229.0,48.9293,3.0,0.6763,0.19,2.03,-8.0,-8.0,-8.0,-8.0,-8.0,1.5,0.5,1.5,1.5,-8.0,0,3.0,2.0,1.0,3.0,4.0,3.0,1.0,4.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27230.0,61.6547,5.0,1.3306,-0.16,-0.28,57.524,6.0,1.06,-0.99,-1.57,3.0,4.0,3.5,3.5,1.2809,3,1.0,3.0,2.0,3.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
27233.0,47.8557,3.0,0.6546,-0.96,-0.21,52.1571,4.0,-1.12,-0.6,-0.4,2.0,2.5,3.0,2.5,-0.0084,1,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,5.0,3.0,3.0,3.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0
27234.0,46.367,4.0,0.4168,-0.29,0.16,53.1786,5.0,1.06,1.1,-0.47,4.0,3.0,3.5,3.5,1.0961,2,2.0,2.0,2.0,3.0,5.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
27235.0,58.2786,4.0,0.9349,-1.03,-0.6,61.0965,5.0,-0.3,1.1,0.31,3.0,3.5,3.0,3.0,1.262,1,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-7.0,-7.0
27236.0,50.4144,2.0,-0.601,-7.0,2.03,58.5279,2.0,0.57,-0.2,-1.19,4.0,4.0,4.0,4.0,-0.6087,3,1.0,-7.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,15.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0
27237.0,60.4993,4.0,0.5268,0.19,1.71,67.1807,5.0,-1.61,-1.89,1.36,2.0,3.0,3.0,3.0,0.3648,1,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,5.0,2.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,-9.0,-9.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
27238.0,66.3983,-8.0,0.0576,0.96,-7.0,62.7978,4.0,0.7,-7.0,-7.0,3.5,4.0,4.0,4.0,0.2133,3,1.0,1.0,-7.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,10.0,10.0,3.0,2.0,2.0,2.0,4.0,0.0,-7.0
