STU_ID,X1TXMTSCOR,X1PAREDU,X1SES,X1MTHINT,X1SCIINT,X2TXMTSCOR,X2PAREDU,X2BEHAVEIN,X2MTHINT_R,X2SCIINT,X3TGPAHIMTH,X3TGPAHISCI,X3TGPAACAD,X3TGPASTEM,X4X2SES,X5GPAALL,S1GOODGRADES,S1HRMHOMEWK,S1HRSHOMEWK,S1HROTHHOMWK,S1HRACTIVITY,S1HRTV,S1HRVIDEO,S1HRONLINE,S2LATESCH,S2ABSENT,S2WOHWDN,S2WOPAPER,S2WOBOOKS,S2SKIPCLASS,S2INSCHSUSP,S2OUTSCHSUSP,S2DISCIPLINE,S2EXPELLED,S2ARRESTED,S2JUVHOME,A1SCHCONTROL,A1MTHSCIFAIR,A1MSSUMMER,A1MSAFTERSCH,A1MSMENTOR,A1MSSPEAKER,A1MSFLDTRIP,A1MSPRGMS,A1HRTEACHERS,A1HRSTUDENT,A1TCHRABSENT,A1PRNTINV,A1UNPREP,A1HEALTH,A1RESOURCES,C1PLANPARENT,C1SIGNOFF
25815,50.9561,4,0.7982,0.19,-7.0,56.0293,5,0.41,0.86,-7.0,3.0,2.5,3.0,3.0,0.9354,3,1,2,-7,3,1,1,1,2,2,3,1,1,2,1,1,-7,-7,-7,-7,-7,1,1,1,1,0,1,1,1,6,15,2,2,2,2,2,-8,-8
25817,53.4097,4,0.5036,0.19,-0.99,55.9683,5,-0.4,2.17,-0.4,3.5,2.5,3.0,3.5,1.0018,3,1,1,1,1,2,1,1,1,2,2,3,2,3,1,1,-7,-7,-7,-7,-7,2,1,0,1,0,1,1,1,8,4,1,2,1,1,1,-8,-8
25819,58.7756,-8,0.5524,-0.24,-7.0,46.4396,7,-2.36,0.84,-0.33,0.5,0.5,0.5,0.5,0.9174,0,2,1,-7,1,4,1,1,4,3,4,5,5,2,3,1,-7,-7,-7,-7,-7,1,0,1,1,1,1,0,1,5,5,2,2,3,1,1,1,0
25820,57.268,-8,0.4508,-7.0,-7.0,44.2646,5,0.38,-0.2,-7.0,3.0,2.5,2.5,2.0,-0.2872,2,2,-7,-7,2,2,2,2,2,3,3,2,1,1,1,1,-7,-7,-7,-7,-7,1,0,0,1,0,0,1,1,10,7,1,2,2,2,1,1,0
25821,58.3495,5,0.4438,0.19,0.49,63.0032,6,0.89,0.71,-7.0,3.0,3.5,4.0,3.5,-0.447,1,1,3,4,3,6,2,1,2,2,2,1,1,1,1,1,-7,-7,-7,-7,-7,1,0,0,1,0,1,1,1,10,5,1,4,4,2,2,1,1
25823,52.9955,5,0.9135,-7.0,0.16,-8.0,-8,-8.0,-8.0,-8.0,1.5,3.0,3.0,2.5,-8.0,1,2,-7,3,3,3,4,-9,4,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,0,1,1,0,1,1,1,10,10,3,2,2,2,4,0,-7
25828,51.6785,7,1.9142,-1.01,0.16,63.1445,7,0.07,-1.39,-1.26,3.5,3.5,3.5,3.5,1.8989,3,2,4,4,4,2,5,2,4,2,2,2,1,1,3,1,-7,-7,-7,-7,-7,1,0,0,0,0,0,1,0,4,6,1,1,1,1,1,-8,-8
25832,-8.0,4,-8.0,-8.0,-8.0,64.351,5,1.02,-1.0,1.44,4.0,4.0,4.0,4.0,0.6588,2,-8,-8,-8,-8,-8,-8,-8,-8,1,1,2,1,1,1,1,-7,-7,-7,-7,-7,1,0,1,0,0,1,0,1,10,10,1,3,2,1,2,1,0
25833,54.6921,-8,0.6703,1.72,0.99,-8.0,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,3,2,1,1,2,1,2,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,0,0,1,0,1,0,1,2,5,1,1,1,1,2,-7,-7
25834,56.86,4,0.0463,-1.33,-2.22,60.6048,5,-1.05,-0.99,-0.83,3.0,2.5,3.0,2.0,0.3869,2,2,3,3,2,6,2,1,4,5,2,4,3,2,1,1,-7,-7,-7,-7,-7,2,0,1,0,0,1,1,1,2,6,2,1,2,2,3,1,1
25836,52.6329,3,0.2926,-1.01,0.61,57.6424,4,1.06,0.71,1.71,2.5,3.0,3.0,3.0,0.4537,2,2,2,1,2,3,3,3,2,1,2,1,1,1,1,1,-7,-7,-7,-7,-7,1,1,1,1,0,0,1,1,3,3,1,2,2,1,2,1,0
25837,47.8786,-8,-0.5458,-0.18,-2.59,50.5601,4,0.73,-0.23,-2.24,3.0,3.0,3.0,3.0,-0.484,2,1,2,1,3,3,3,1,4,1,3,2,1,1,1,1,-7,-7,-7,-7,-7,1,0,1,0,0,1,1,1,7,3,1,2,1,1,1,-8,-8
